kf,mse,mae,mape,r2
1,0.13487362799093622,0.3104681889771198,0.0954568333645201,0.15057354508466325
1,0.15529198382630177,0.337733083627107,0.10361245015583542,0.02197989878933282
1,0.17137227093330565,0.34361035008338997,0.10405937066215212,-0.07929283684317379
1,0.15309089858313515,0.33460741705156677,0.10193794035905875,0.03584220873768773
1,0.1473167518481187,0.2802861967365457,0.08649185981518451,0.07220745718800448
2,0.09985610017604518,0.24369454294123116,0.07666691470584262,-0.27237340696490286
2,0.07468721220506597,0.23120021915368652,0.07451066119672739,0.04833032250875402
2,0.16529376145300062,0.33696533381353494,0.10797985682134703,-1.1061846601180565
2,0.10439257310489243,0.25499743822279425,0.08042877325773824,-0.3301774620592366
2,0.06147138084797972,0.2099014072527333,0.06792665473896749,0.21672736925946767
3,0.03211097382818514,0.14839326193466584,0.04373530031844972,0.32403655830927014
3,0.035976503647757244,0.14217161295779546,0.041982152767224196,0.24266385205697316
3,0.0409635197580144,0.16264912219468092,0.048096107192831694,0.1376829009436924
3,0.0316241730222985,0.13267815867512842,0.039222317062302954,0.3342841313017816
3,0.034671002110862444,0.15196006488464353,0.04509872582040702,0.27014577511336346
4,0.07593794578344935,0.2219604252157353,0.07065187852166807,0.39689852090067224
4,0.07025366377931071,0.21283746179370114,0.06638708330949442,0.44204326176698217
4,0.08084143273472388,0.24574822430458654,0.07549967773761,0.3579548781335741
4,0.06945009566279502,0.2127698310829547,0.06769128105123834,0.4484252242315673
4,0.08892241973365998,0.24132647488507872,0.07728674870779707,0.2937754331754645
5,0.04600192685788337,0.16577178215388813,0.05224660704442733,0.1186613272054936
5,0.059630940867402796,0.20317269218675166,0.06524514738418101,-0.14245332470368233
5,0.05844451615398882,0.1976938298389415,0.0633118338347177,-0.11972292939825846
5,0.044691070206092996,0.16334925697227937,0.051921572118160314,0.14377568089945825
5,0.05973984255932513,0.2014002823044858,0.06331605528719657,-0.14453974323394125
6,0.12607719198680495,0.26069874389220665,0.07352548690636204,-0.005760405790393497
6,0.08444316042106687,0.21945398041933808,0.06226823475433566,0.3263683466220907
6,0.13147092151919287,0.26591080913281784,0.07500996532082263,-0.04878801068649463
6,0.16449148752749818,0.284306519594647,0.07953344895515342,-0.31220423486300874
6,0.14139699424412724,0.2793366317082573,0.07845737804869732,-0.12797165028389101
7,0.16007611026879645,0.2779636840561789,0.07864742858558108,-0.19498497844358265
7,0.15828870557321836,0.25497560633783756,0.07114738201937289,-0.1816418146321388
7,0.17390683832802137,0.27337689178532615,0.07706896460875927,-0.2982328162624759
7,0.12582106003619015,0.24436573606476625,0.06910238528477332,0.06073256988426534
7,0.1782557671389461,0.2605201879597699,0.07228796637226496,-0.33069802667175563
8,0.07069625050070631,0.1955547022707891,0.057815010410366525,0.1321793907122345
8,0.07382755774479792,0.203693693893767,0.06057247301322318,0.09374152532066571
8,0.07233419911456344,0.18998080984460447,0.05482462026573843,0.11207301231179367
8,0.0718660486465236,0.2005280830916801,0.05947557034957868,0.11781971912488876
8,0.06360512078601502,0.17790114652646802,0.052388243024213174,0.2192254287405242
