kf,mse,mae,mape,r2
1,0.30347156734663533,0.4364118497132038,0.12844636533190917,-0.9112467089279783
1,0.19973464200570737,0.340767334219562,0.10012038162787018,-0.25791744027300423
1,0.22029864232595758,0.3562599387110968,0.10695624367904609,-0.3874283472687132
1,0.24107921764563867,0.39882915163753613,0.11788038030681897,-0.5183032313200571
1,0.19040104432339602,0.33180529852992846,0.09805070631928035,-0.19913497175792494
2,0.1918347591119712,0.3836085770784435,0.12206755170643117,-1.4443719071270595
2,0.246369171692081,0.3891146986425357,0.12376591623322541,-2.139253203402935
2,0.22115701318782438,0.38226725421970004,0.1220825155205617,-1.8179981177702622
2,0.11401505369051003,0.2817716572938976,0.09077775149185711,-0.4527877821557651
2,0.1086596831342276,0.2691115404905263,0.08572676538250057,-0.3845492762633502
3,0.051101660296453855,0.16738392897463064,0.0486742227439354,-0.07573362162507102
3,0.05462454141093721,0.16696694640814472,0.04870301607723396,-0.14989327980159262
3,0.07277188484928997,0.21502940591198724,0.06339853441358176,-0.5319103682203004
3,0.0812277128973688,0.2238195817217486,0.06572690707131923,-0.7099127751328975
3,0.07430551842984687,0.2000833606597422,0.058222431917796295,-0.5641946657614663
4,0.09909977329361579,0.2564934397062722,0.07829187234875214,0.2129465811173683
4,0.09564627487322266,0.27110111799527103,0.0826691824354494,0.2403743707937679
4,0.10702289369101371,0.27657636854392925,0.08551613335628812,0.15002091751857494
4,0.1107033684689954,0.2820680418863949,0.08725699410926459,0.12079047469466198
4,0.0913063036410068,0.2407789587127632,0.07416319678900232,0.2748425545508323
5,0.057760221024601294,0.19411533517221463,0.0631777008732421,-0.10661270114635668
5,0.0598635327580838,0.2071451038814857,0.06700970143398344,-0.14690949083056792
5,0.07345508907470731,0.22165553340112829,0.07195240682743824,-0.4073065007712926
5,0.0577619196580789,0.2006847859108833,0.06524802128203282,-0.10664524481304571
5,0.07389187652471717,0.24050546033809225,0.07777913441628052,-0.415674795270657
6,0.10708049496559556,0.23198162356734037,0.06575246210740454,0.1457826719355787
6,0.15920050737000216,0.27001006752713147,0.07472738520670327,-0.2699962964851532
6,0.08572085800072501,0.21618899297269342,0.061158576648229,0.3161757208509769
6,0.1459369084295784,0.27855722968029784,0.07829469567723746,-0.16418808135645824
6,0.18660915487759058,0.32798745355990466,0.09319363230716683,-0.4886443485633045
7,0.18483602800371643,0.24761657745564067,0.06748948982670692,-0.3798203652545511
7,0.1408808684092281,0.25038214683532717,0.0705313945785865,-0.051690481586690096
7,0.16900664585650568,0.2682123373851159,0.07503904547151119,-0.26165236471907627
7,0.17512253534765823,0.2685381796205153,0.07498051715482595,-0.30730812221765724
7,0.16391586754238655,0.25155233737050464,0.06978223072657075,-0.22364916984044259
8,0.06787762165414582,0.21539683918129557,0.06538943647974403,0.1667790220314902
8,0.10031438563807493,0.23853479602349048,0.07160912758706667,-0.23139332918217947
8,0.06291150493078289,0.19360364624917203,0.05922149800957436,0.22773980015111517
8,0.09630738752435736,0.2479807846099217,0.07403935821193058,-0.18220605942129486
8,0.05501147661123738,0.18791296794292417,0.05751467692764228,0.32471534469700447
