kf,mse,mae,mape,r2
1,0.11407543675895931,0.27310132666579273,0.08281859400745563,0.2815593731519309
1,0.1644227568035019,0.30232831052532705,0.09391824384819927,-0.03552519124339826
1,0.20672936106857104,0.35159583264391026,0.10751659162235264,-0.3019697839757798
1,0.14033649032127424,0.30442096426755155,0.08993279348890951,0.11616874814940636
1,0.19895252070623007,0.3398609860842763,0.10036374855734628,-0.25299168471482036
2,0.1622674929596452,0.33924118364052414,0.10794757868681762,-1.067623735482579
2,0.07381119748596589,0.22413073170501974,0.07127889612859946,0.059492563280501676
2,0.12385630749171003,0.3003163312135753,0.09412568703363576,-0.5781857258543817
2,0.09298312545969756,0.2478835468713592,0.07775265850858751,-0.18479748280598285
2,0.10518767865732433,0.2601555100167183,0.08160429073704796,-0.3403087525748978
3,0.031017724100834424,0.14882366073704462,0.044037535731303055,0.3470503993805987
3,0.04504051997841333,0.1692253458712689,0.04980308389262101,0.05185856202763761
3,0.05905612891976103,0.21223005741252335,0.06281816664489195,-0.24318198417557335
3,0.07320738474811951,0.21474083354351006,0.06311831138942559,-0.5410780132765955
3,0.06850175340521006,0.2090786662003545,0.06106814712934179,-0.44202045199239404
4,0.07340024970115726,0.2342911456183126,0.07340002494894293,0.4170529805050892
4,0.10280766406804166,0.2800638425150835,0.08630697857489542,0.1834983996143814
4,0.09651971799444133,0.25715038655194883,0.07827748634642831,0.23343745891287115
4,0.09822239604187273,0.2783256881452317,0.08427173684744255,0.21991473798275551
4,0.08528677769227382,0.22699837302338968,0.0698711151089078,0.32264981303936624
5,0.031034022700029137,0.14347562655603552,0.04588157858499474,0.4054274191075318
5,0.08915632989670177,0.23081920989888866,0.07360901198432414,-0.7081223946366622
5,0.040524087846496235,0.17290141441443926,0.055495138768590115,0.22360978684269162
5,0.08338581837472604,0.21241212566837742,0.06858851876216834,-0.5975667002668303
5,0.05065195565877743,0.18604958433367122,0.05916629289077441,0.029572663061115834
6,0.11733217631368396,0.2551336467195992,0.07239285367274322,0.06400154221493659
6,0.15933874138122123,0.2996351535794094,0.08495922911533177,-0.27109903594997453
6,0.11175532116783693,0.24018882183473805,0.06813973295014848,0.10849000207140591
6,0.10523858628885847,0.24338643498732063,0.06915139060161953,0.16047620047115896
6,0.13674432789807717,0.2617031235494279,0.07432282375524395,-0.09085575708807547
7,0.1515013653446142,0.22016301710977831,0.059859291551594106,-0.1309736068455527
7,0.15556334227519922,0.2521612254187914,0.07080661384095378,-0.16129669132507152
7,0.18868532226014362,0.28856682230481484,0.08110711356380274,-0.4085557512301079
7,0.15999747879521847,0.25703603957669197,0.07205409955981726,-0.19439798623343463
7,0.1633346178673027,0.2731547016475512,0.07759782902901745,-0.2193100799582357
8,0.07753881851263822,0.20246633541632342,0.06041391974067932,0.04818453243968157
8,0.08805273566714177,0.20948087729645576,0.06091494667804274,-0.08087738988859239
8,0.03490850220974449,0.14817120190721064,0.044303542226407484,0.571486218258759
8,0.0913948312166268,0.2139159360016719,0.06259036625423275,-0.12190275368809211
8,0.06270010651462198,0.19346746180423108,0.05714478876165567,0.23033478787699746
