kf,mse,mae,mape,r2
1,0.0950606334544708,0.2530462006360924,0.08080594407261721,0.40131352526037367
1,0.12257948879693555,0.26300685740096386,0.08499862493773733,0.22800133602758565
1,0.12010778293148229,0.2714958212343326,0.08808256628508924,0.24356799929719453
1,0.14626678560955444,0.27529387447821846,0.08717869321140703,0.07882008497217274
1,0.11889530411034906,0.28003047380563223,0.08819745250306156,0.2512041221036807
2,0.09565852535632594,0.27972381565290105,0.09017910246179996,-0.2188876152612378
2,0.10040011032593324,0.2716327707164413,0.08776861193797104,-0.27930522231335186
2,0.16194043244060105,0.2971826437938551,0.09846416828443545,-1.063456307492038
2,0.13904674649449775,0.2794747975540294,0.08905312823197814,-0.7717433612236246
2,0.05490662085170883,0.20253562320107638,0.06633454557881367,0.30037599991534303
3,0.06294115103387536,0.20213493854255474,0.05926132323221502,-0.32496501988644466
3,0.047316906795742575,0.1691068899830853,0.05014106986311123,0.003938674082331728
3,0.04953614667814289,0.17304719033247182,0.05134363803787906,-0.042778222043936776
3,0.07683298918637382,0.2205760113939898,0.06471907680962011,-0.6174000852076691
3,0.0671299843588234,0.1987934292095099,0.0579914640991996,-0.4131435412278117
4,0.10793678691278001,0.28783072163827367,0.09079094991212827,0.1427627497066899
4,0.10622429952220705,0.28420090923181673,0.08906412298425229,0.1563633767389081
4,0.12570572231104854,0.3172762522679814,0.09884335749543742,0.0016413233874147393
4,0.1212179494679328,0.29869773753128703,0.09480978402098601,0.037283352041484696
4,0.11924829691837995,0.3214344727793657,0.09979986761587009,0.05292639260166254
5,0.15341003200081052,0.3331172738133173,0.10737031996788148,-1.9391419714799785
5,0.08849807263995944,0.2515462562577488,0.08034678356024032,-0.6955110190565277
5,0.05885724969763034,0.2149067241970532,0.06850774691305142,-0.12763038150770134
5,0.12266893648029402,0.30830544619517447,0.09749986882844026,-1.350181504454277
5,0.07984761825437806,0.2422537396064506,0.07786548206790755,-0.5297792658886451
6,0.08000916486512936,0.19748535702619208,0.057785632710324865,0.36173982896030166
6,0.09660397081186396,0.22454101461760673,0.06364859352886403,0.22935744876938335
6,0.08972914025950755,0.1975518769966086,0.05542720292921579,0.28420029748068565
6,0.10498503156609063,0.22579922439942468,0.06432956480922006,0.16249889225896264
6,0.11522788804978049,0.25974823828822924,0.0750703530543821,0.08078816146661716
7,0.1486401325373362,0.2474804344449198,0.06863611332109201,-0.10961420337937766
7,0.16644709202226773,0.25557254456693174,0.07089598764914347,-0.2425450264766864
7,0.14694309566271735,0.235634135013104,0.06440188071640109,-0.09694564484413393
7,0.13606789317640636,0.24428804972641394,0.06798257048016498,-0.01576111589192597
7,0.14284831314185317,0.2561149941088336,0.071558289896155,-0.06637766318709915
8,0.0868450852575235,0.2551209756426153,0.07689728632668957,-0.06605306884102746
8,0.11268872248424439,0.26340246254397714,0.07815836028116141,-0.38329253833850574
8,0.11980498926421865,0.277322184700673,0.08300444471504533,-0.4706471424244729
8,0.11932930904166925,0.3015255641257378,0.09025779761874095,-0.4648080053042538
8,0.10799947549921214,0.2806362407654446,0.08473049513153424,-0.3257304307750948
