kf,mse,mae,mape,r2
1,0.11967606729045109,0.28735536225524905,0.08605696671174566,0.2462869199042481
1,0.13433019546843603,0.31978802646303917,0.09680747154956501,0.1539960522711984
1,0.1257091690115231,0.2843448552521282,0.08903167367227968,0.20829078764762776
1,0.17306760624880124,0.3216289037472136,0.09472215563262014,-0.08996996244871447
1,0.15643376546697302,0.2932707656213379,0.08895232294193578,0.014789022813282204
2,0.059437624071037864,0.1991787200460046,0.06350052202306442,0.24264164024194534
2,0.1125706483887061,0.28054927838299826,0.08850962648061951,-0.434383068856784
2,0.07814821015075551,0.24761295059897778,0.0813349804437341,0.0042300448102269295
2,0.07234388812514082,0.21435414589292842,0.06885224057202911,0.0781891217001982
2,0.06955547746807422,0.2113089429198635,0.06709766456320387,0.11371924516280241
3,0.051165758257848803,0.1827698565895889,0.05351698703042386,-0.07708293849168868
3,0.051548511236189455,0.1879702205250032,0.055397461436748334,-0.08514021579323927
3,0.029263576136198108,0.1361852240477666,0.03993660902748506,0.3839767131621378
3,0.045599223290108896,0.16800607358945627,0.049392209845158096,0.040097379838692104
3,0.05485394671521266,0.17160423827494475,0.04975728027043836,-0.15472245751043046
4,0.08772402254371854,0.2271891741694707,0.07264307510433322,0.30329314017090026
4,0.0789150996077336,0.2350213681558253,0.0730004674189259,0.3732538745198982
4,0.07391408891278214,0.21596577753648843,0.06833584651416529,0.4129720538306446
4,0.08655042076477178,0.23235600536613663,0.07277205648818635,0.3126139212567466
4,0.09612300488098298,0.2631986312485139,0.08254587666177503,0.23658816654706383
5,0.045857031582823775,0.1782615586822881,0.05758921677733685,0.12143733721502503
5,0.033854074060038736,0.1534943711749692,0.04839756614063161,0.3513988056861512
5,0.05523279146060039,0.18971337015531056,0.06133196183118038,-0.05819035083047153
5,0.04200543362538244,0.16899649090675414,0.05441715574476871,0.19522907734009431
5,0.030124894268105988,0.14346272804493246,0.045716678826432884,0.42284516876106804
6,0.11445560290454922,0.23589669309437097,0.06641150913828917,0.08694894129374864
6,0.1448296760286223,0.2683023277671164,0.07488931921781124,-0.15535531397529345
6,0.10952717007084839,0.23079300976000974,0.06506409458694314,0.12626471703891606
6,0.10461438955341444,0.2226071358719164,0.061978612528991936,0.1654556289628636
6,0.1540291808139567,0.27984628955513335,0.07932460698337489,-0.22874287535861626
7,0.17447210906876928,0.28071195384352704,0.07845375958657104,-0.302452621721349
7,0.16814729988403504,0.26749930603095806,0.07465379285005187,-0.2552372567640915
7,0.1878694342120951,0.2842985798107698,0.07948288037554917,-0.4024650612459968
7,0.20252612697457026,0.2903568035092826,0.08034973580068636,-0.51187881233859
7,0.13698310263602212,0.26178460859215774,0.07449678168459731,-0.02259325064666129
8,0.04163680096919297,0.15380998817410943,0.04607765847791484,0.4888940540698481
8,0.05988904296446851,0.19557891136734146,0.059418606684894765,0.26484155260020503
8,0.044069276742497616,0.15670391429165256,0.04656172739341463,0.4590345835503207
8,0.04320405280814801,0.15842729710550593,0.046673411430211635,0.4696555027159013
8,0.05551234571510213,0.1900781417080185,0.05715356113870006,0.3185670054596218
