kf,mse,mae,mape,r2
1,0.11276159485770323,0.2883973564058307,0.08672417050557318,0.289833874884606
1,0.19238286368642243,0.3667424302159052,0.11044236673293159,-0.2116163576366472
1,0.10983559172052228,0.26598003012914506,0.08026276125872855,0.3082616765898718
1,0.09235228524377433,0.25773473821192466,0.0797037190140935,0.41837054859070777
1,0.1394658756799745,0.31448391487220295,0.09444163228363708,0.12165182975232947
2,0.06585234311789497,0.21622429700209111,0.06793271961688929,0.1609048418492297
2,0.08608998105903358,0.2646512583177118,0.08462702272825455,-0.09696455511992963
2,0.07644803272115763,0.24192455635832943,0.08026032486874043,0.025893824436393764
2,0.07578787875898095,0.2429784908702605,0.07847609680859798,0.03430555235782562
2,0.09386002920747112,0.2570526847146049,0.08221353436024409,-0.19597105164321826
3,0.026976025535224907,0.11816485964532199,0.03500495518393134,0.4321316082939163
3,0.06079386870405627,0.19234908865522565,0.056587150546089836,-0.2797628917382111
3,0.03758549115545139,0.14013196785998536,0.041509564990277144,0.2087932899507664
3,0.0449134238060344,0.18175423858409576,0.05466203599140557,0.05453404507485593
3,0.064996083628827,0.18688200606537664,0.05452880713829174,-0.36822310719199813
4,0.07124709050494567,0.21977069386527678,0.07044091276352332,0.43415343644413507
4,0.10181412370257545,0.2732194366903288,0.08687633226117274,0.19138912746823078
4,0.08788211560340538,0.2508604283159073,0.08015776574190113,0.3020375602740676
4,0.07757851613607923,0.23397896240404206,0.07350736586170482,0.38386906117497566
4,0.0853983090947905,0.2457452520178434,0.07432685024952444,0.3217640272424255
5,0.03364561215142792,0.15439892408055042,0.04942721926219764,0.3553926719089915
5,0.05958270079936802,0.19092707732126246,0.06014620812355682,-0.14152910607978364
5,0.058673019094777755,0.19300370842141856,0.06205337031418506,-0.1241007564224772
5,0.05831868774063547,0.17633568546759826,0.05626412164814838,-0.11731221631732014
5,0.03292171900441842,0.1454737428446257,0.045686346142809635,0.369261548041102
6,0.1489145433923031,0.2697810723840756,0.07548637141183702,-0.18794168263208832
6,0.1723702785761378,0.3010597003873981,0.08416230518275322,-0.3750560160404226
6,0.13084699135544253,0.2519255272857401,0.0702619021211362,-0.043810708727357595
6,0.13614027400413634,0.2582334362677002,0.07173146138766796,-0.08603701485630988
6,0.10083147905715255,0.2368514435972423,0.06764293207805576,0.19563318555206255
7,0.12190028777719208,0.22735351476986565,0.06370504465996031,0.0900015466574614
7,0.16593343602769034,0.2726775165484673,0.07711822729190235,-0.2387105305198769
7,0.1152438972498802,0.2220749427947839,0.06245760467559957,0.1396922011682139
7,0.11221175457950414,0.23937422249103582,0.06838191440202276,0.1623274647157409
7,0.10510880677378323,0.20710725908694064,0.058042394571238796,0.21535171621868254
8,0.07443001402643326,0.20619976340882945,0.060815762235125054,0.08634616879616663
8,0.07722611527457897,0.19618591923487919,0.05702914379397818,0.05202307143795737
8,0.06029598383878591,0.16480988158283272,0.04733611567643884,0.2598462144458753
8,0.07115053535066201,0.19502345175005315,0.05735175415126381,0.1266028890945876
8,0.08149372721935626,0.1988066239660008,0.057642383966971564,-0.00036332206792422106
