kf,mse,mae,mape,r2
1,0.11893018407099343,0.287881449807511,0.08928562804295302,0.25098445009100434
1,0.12287923641336009,0.30102025155076,0.0918357713581208,0.2261135425502282
1,0.12198445795525849,0.28293976132698917,0.08768269413206026,0.23174880650005625
1,0.1012406421063514,0.27098909816077194,0.08294794882982827,0.3623921814905907
1,0.0665301658140901,0.22679454594786536,0.07044149006724128,0.5809967913357397
2,0.16858510530180065,0.3221236625734173,0.10123272019805106,-1.1481231934576086
2,0.1605004335286058,0.33458378002228584,0.10538648849710562,-1.0451077407199434
2,0.19535462239701842,0.38308021018883215,0.1218515837449259,-1.4892222510935325
2,0.10393498886234598,0.24345018659009848,0.07653709950020593,-0.32434689166207686
2,0.09929865487937785,0.2773327696019128,0.08891417754175047,-0.26527040003726676
3,0.05310223342511769,0.17804728014371393,0.05241739509515055,-0.11784739570870273
3,0.05726358181896251,0.17831138545722758,0.05245646050301582,-0.20544733576123764
3,0.06865613193076178,0.2166133239417406,0.06415537491231996,-0.4452702518898821
3,0.07053594869983815,0.1969717171547639,0.05816847580510371,-0.48484200140367206
3,0.08987552336664416,0.24897760143944775,0.07318935736226177,-0.8919565760832622
4,0.07504626349085515,0.20866214107119885,0.06731439025157096,0.40398028883634707
4,0.07971037011125211,0.23199774218721866,0.07328961874880191,0.36693781195054953
4,0.07829882568879833,0.22217570812226664,0.07047461839083397,0.37814834076079584
4,0.09137034274357415,0.2521335280506857,0.07900592101793849,0.2743339540470907
4,0.08614759122002572,0.23841850514454707,0.07486863829238315,0.3158132057745826
5,0.04393114080788161,0.1710393151958273,0.05504973845356061,0.15833496597693497
5,0.04594986964689852,0.1718434736723208,0.05413391555519189,0.11965867745520176
5,0.04392038260015235,0.1748411621302915,0.05589121131486913,0.15854107961541453
5,0.05321022907994326,0.18758352413707965,0.060950049338099214,-0.01944061650478912
5,0.03882515539661093,0.15681751551121978,0.05066713345866888,0.25615918146207883
6,0.14787187098444307,0.28762097642422096,0.08114062863049659,-0.17962393215311612
6,0.20036629484414312,0.3061025409562511,0.08484043491183278,-0.5983897073965121
6,0.09952818338772002,0.2139484626527949,0.06009525378405793,0.2060300159438
6,0.1778136635683079,0.29159716309361206,0.08094861770950774,-0.4184797393350481
6,0.17457653821141617,0.3092166815952308,0.08731916158257072,-0.39265609541313595
7,0.18015686876982875,0.2762975330936969,0.07690385485607111,-0.34488995004860845
7,0.1606563110550245,0.24778680254334023,0.0685659452274828,-0.1993162382603002
7,0.19643313677252472,0.3009532596250371,0.08425373591459569,-0.46639400043866197
7,0.12613029811952298,0.26447739850054136,0.075620421678945,0.058424075108093554
7,0.18605557525342895,0.3004252861998609,0.08478779821073937,-0.38892441358169716
8,0.07005101692877143,0.19816677128036886,0.05841069530125941,0.14009985307853567
8,0.07728532422268276,0.2267522903518596,0.06746900881641897,0.05129626138714416
8,0.06490781980890181,0.17859211411616324,0.05142621715305203,0.2032343535172504
8,0.07258206224387458,0.19067840331332264,0.05539055582210664,0.10903040778361417
8,0.06967192703427223,0.19087262602663255,0.055799367382728,0.14475331094778776
