kf,mse,mae,mape,r2
1,0.09840459286090401,0.2568696481048,0.07903795131409116,0.3802534586906642
1,0.11896801172952491,0.28609258246744973,0.08936139461271025,0.2507462136443188
1,0.1265524731472327,0.2798494230217338,0.0864685697228525,0.20297970605902127
1,0.11635845150908146,0.27268859665613326,0.08373774142737637,0.26718107581832606
1,0.12607713579237476,0.2691068102115266,0.08367131137097009,0.20597335374419323
2,0.07634968951837527,0.23340520837831183,0.0772073289342343,0.02714692039903832
2,0.07636166123558397,0.23976703949273415,0.07797461834495345,0.02699437594171239
2,0.16062998701723172,0.27905617087753165,0.0906831719049541,-1.0467585203259615
2,0.05327954520380276,0.17875208015874988,0.05866935034850774,0.32110831153041763
2,0.048369691070095526,0.1795625436324888,0.0565469291907147,0.38367001603111517
3,0.08262138479887814,0.22483868367964502,0.06518637378573944,-0.7392507597163807
3,0.047518090474424936,0.17251301144571582,0.05109270394639622,-0.00029641428907001277
3,0.04831906950201252,0.14987919369140093,0.042982076777042084,-0.01715770735066391
3,0.0714689184371733,0.20929728136044173,0.060913433293414816,-0.5044818117070526
3,0.06163491678944705,0.18379861153013544,0.05378909707338381,-0.2974676727102892
4,0.11085694470891566,0.2978181070149137,0.09330383396404517,0.11957076751803442
4,0.10607478311180507,0.2880665279790304,0.09001824211152169,0.15755084062580604
4,0.1066370623267375,0.28167665264862846,0.08980087826195589,0.1530852019692166
4,0.11321880555506474,0.27721648585748015,0.08933047109227035,0.10081279671643617
4,0.1015332277674386,0.2738235903921057,0.0867421457081009,0.1936200115434613
5,0.1256564222108165,0.29591094745168667,0.09219940490908426,-1.4074179484159712
5,0.05693563063777149,0.16658864600170362,0.053671967970666444,-0.0908145933981126
5,0.1304939605244331,0.3163434727832774,0.10001510156485512,-1.500099057407057
5,0.06423690082611033,0.21103461579062816,0.06756076076782651,-0.23069768562997428
5,0.03503087724068258,0.15675686389655866,0.050188745590127565,0.3288527467662028
6,0.11773357334151659,0.25399218406049384,0.07251836222290323,0.06079946235232159
6,0.061106502053808576,0.19283080050030788,0.055424637779284434,0.5125327639871438
6,0.09290543216649982,0.20188456683518918,0.05684442016346524,0.25886194256539197
6,0.10895457698529251,0.23585052287261704,0.06701042538593327,0.13083248576065065
6,0.08882746829249684,0.23521738504662565,0.0682160370940753,0.2913932397499379
7,0.16097698488546716,0.2602009682318752,0.07241532347282381,-0.20171010208992168
7,0.15383335958481448,0.2643848237032789,0.07482230077860205,-0.1483821888143233
7,0.18141738281861972,0.287130442362984,0.08020546376021667,-0.35429981983425574
7,0.16627513740637118,0.29494260392896565,0.08332957761386242,-0.24126136720594715
7,0.1413356437234188,0.2592925740987177,0.0725293516208665,-0.05508542707925823
8,0.07505797733650897,0.24183835885122285,0.07369193543106932,0.07863770478993448
8,0.13824919200882993,0.2995522464390604,0.08966641417695881,-0.6970560276240594
8,0.10163586531451059,0.2715745195455269,0.08314467976744307,-0.24761494333913303
8,0.09799599287602093,0.242353565313933,0.07369594311262193,-0.20293426657158253
8,0.08583859304943334,0.25141762060515566,0.07746913129702986,-0.05369803338890722
