kf,mse,mae,mape,r2
1,0.08989900786666569,0.2573476622058901,0.07953282377781462,0.43382115028655177
1,0.1339525569363283,0.3035038228623365,0.09606725378236487,0.1563743983151653
1,0.0885620457293108,0.2538978366158501,0.07709614759658807,0.44224126195408775
1,0.10010573258472162,0.25846250308657437,0.07926271756312972,0.3695397772509157
1,0.11661503561198906,0.27052755528490147,0.08304053707957972,0.2655651236995392
2,0.11867294958262325,0.2999560006876433,0.09572343013272623,-0.5121390171337727
2,0.17453897741766342,0.3498279504497336,0.11147244579411922,-1.2239878480489454
2,0.19808899081364648,0.36132027536176337,0.11565404248522965,-1.5240637645516841
2,0.14255974358452728,0.3275077628396049,0.10422613171388656,-0.8165062156533329
2,0.09968548170403324,0.24944117843263314,0.08017309190869339,-0.2701993744707214
3,0.04136583214998354,0.16318290150482442,0.0477659624223908,0.12921388126944044
3,0.04060248827999231,0.16433700485528296,0.048534457838960224,0.14528292209995797
3,0.07252025299924932,0.21000119337761122,0.061387050414480546,-0.5266133027279052
3,0.05171127500234807,0.19164752613266384,0.056595588957164156,-0.08856653217167776
3,0.09389842088579015,0.23767767515200935,0.06866009242863,-0.976642006900815
4,0.07679067889384199,0.22444343032477593,0.06993171403543762,0.3901260885567511
4,0.09156200853174488,0.2559627454068072,0.07686344901062003,0.27281173851774065
4,0.08537240615555587,0.23498780871419617,0.07207450286367767,0.32196974917504106
4,0.09241022723749505,0.2635415179115466,0.07944978113602101,0.2660751597130354
4,0.08158525125599908,0.24247989015036933,0.07454129978843897,0.3520474487748474
5,0.0629734780860578,0.20753071493096129,0.06731483782669835,-0.20649210562598186
5,0.08288410935914073,0.24216844192069142,0.07604895498439852,-0.5879545907721337
5,0.05016230627806369,0.18691586158250886,0.05975882274180642,0.03895372522110119
5,0.06330922109757131,0.2167965781823412,0.06957641804097214,-0.2129245166221887
5,0.06943991791394213,0.2117481622675781,0.06599749490158043,-0.33038090518039565
6,0.17197806268566684,0.26368679767015013,0.07301288071145781,-0.37192717721603974
6,0.14466465978121032,0.26597842104740044,0.07377821673737782,-0.15403892355333348
6,0.1217102598438306,0.24338334936492126,0.0678942208413204,0.029076089018569617
6,0.15083343420222645,0.2632333391043861,0.07321183691510089,-0.20324932368311988
6,0.2044984938873527,0.3238429223656377,0.09094433588328535,-0.6313536568707365
7,0.15749533307829014,0.23521825591511866,0.06421722497267711,-0.17571920561722965
7,0.17361605525475757,0.25898578481064777,0.07174969180132915,-0.2960620900750863
7,0.1825260767550121,0.23922113789170774,0.06490239624873752,-0.3625763365328165
7,0.1768260672142284,0.23700778469588574,0.06434161160444671,-0.3200251665500875
7,0.1505343142300384,0.22074874261810043,0.060067434604128014,-0.12375446869080431
8,0.06921383753924366,0.20270041041331419,0.06182257036849519,0.15037651588253942
8,0.1017048006941372,0.2573482676374936,0.07712326837932405,-0.2484611486573125
8,0.07329769298249164,0.19561799031297775,0.05753246325319412,0.1002457961639992
8,0.07790178942074136,0.21268170098313308,0.06381054820688256,0.043728940631164614
8,0.07836330866845044,0.22375320584932276,0.06615112804874787,0.03806363431140558
